id,age,bp,sg,al,su,rbc,pc,pcc,ba,bgr,bu,sc,sod,pot,hemo,pcv,wc,rc,htn,dm,cad,appet,pe,ane,classification,smoker,ckd_stage,username,email,password,phone_number
0,48.0,80.0,1.02,1.0,0.0,normal,normal,notpresent,notpresent,121.0,36.0,1.2,138.0,4.4,15.4,44.0,7800.0,5.2,yes,yes,no,good,no,no,ckd,no,Stage 3,user1,user1@example.com,password123,+639453320721
1,7.0,50.0,1.02,4.0,0.0,normal,normal,notpresent,notpresent,121.0,18.0,0.8,138.0,4.4,11.3,38.0,6000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 1-2,user2,user2@example.com,password123,+639967045800
2,62.0,80.0,1.01,2.0,3.0,normal,normal,notpresent,notpresent,423.0,53.0,1.8,138.0,4.4,9.6,31.0,7500.0,4.8,no,yes,no,poor,no,yes,ckd,no,Stage 3,user3,user3@example.com,password123,+639236857965
3,48.0,70.0,1.005,4.0,0.0,normal,abnormal,present,notpresent,117.0,56.0,3.8,111.0,2.5,11.2,32.0,6700.0,3.9,yes,no,no,poor,yes,yes,ckd,no,Stage 4,user4,user4@example.com,password123,+639620893370
4,51.0,80.0,1.01,2.0,0.0,normal,normal,notpresent,notpresent,106.0,26.0,1.4,138.0,4.4,11.6,35.0,7300.0,4.6,no,no,no,good,no,no,ckd,yes,Stage 3,user5,user5@example.com,password123,+639754003047
5,60.0,90.0,1.015,3.0,0.0,normal,normal,notpresent,notpresent,74.0,25.0,1.1,142.0,3.2,12.2,39.0,7800.0,4.4,yes,yes,no,good,yes,no,ckd,no,Stage 1-2,user6,user6@example.com,password123,+639837265140
6,68.0,70.0,1.01,0.0,0.0,normal,normal,notpresent,notpresent,100.0,54.0,24.0,104.0,4.0,12.4,36.0,8000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 5,user7,user7@example.com,password123,+639482519525
7,24.0,80.0,1.015,2.0,4.0,normal,abnormal,notpresent,notpresent,410.0,31.0,1.1,138.0,4.4,12.4,44.0,6900.0,5.0,no,yes,no,good,yes,no,ckd,no,Stage 1-2,user8,user8@example.com,password123,+639784818916
8,52.0,100.0,1.015,3.0,0.0,normal,abnormal,present,notpresent,138.0,60.0,1.9,138.0,4.4,10.8,33.0,9600.0,4.0,yes,yes,no,good,no,yes,ckd,yes,Stage 3,user9,user9@example.com,password123,+639246227077
9,53.0,90.0,1.02,2.0,0.0,abnormal,abnormal,present,notpresent,70.0,107.0,7.2,114.0,3.7,9.5,29.0,12100.0,3.7,yes,yes,no,poor,no,yes,ckd,no,Stage 5,user10,user10@example.com,password123,+639836888335
10,50.0,60.0,1.01,2.0,4.0,normal,abnormal,present,notpresent,490.0,55.0,4.0,138.0,4.4,9.4,28.0,8000.0,4.8,yes,yes,no,good,no,yes,ckd,yes,Stage 4,user11,user11@example.com,password123,+639247489473
11,63.0,70.0,1.01,3.0,0.0,abnormal,abnormal,present,notpresent,380.0,60.0,2.7,131.0,4.2,10.8,32.0,4500.0,3.8,yes,yes,no,poor,yes,no,ckd,no,Stage 4,user12,user12@example.com,password123,+639125105376
12,68.0,70.0,1.015,3.0,1.0,normal,normal,present,notpresent,208.0,72.0,2.1,138.0,5.8,9.7,28.0,12200.0,3.4,yes,yes,yes,poor,yes,no,ckd,no,Stage 4,user13,user13@example.com,password123,+639721209790
13,68.0,70.0,1.02,0.0,0.0,normal,normal,notpresent,notpresent,98.0,86.0,4.6,135.0,3.4,9.8,40.0,8000.0,4.8,yes,yes,yes,poor,yes,no,ckd,no,Stage 4,user14,user14@example.com,password123,+639346198945
14,68.0,80.0,1.01,3.0,2.0,normal,abnormal,present,present,157.0,90.0,4.1,130.0,6.4,5.6,16.0,11000.0,2.6,yes,yes,yes,poor,yes,no,ckd,yes,Stage 4,user15,user15@example.com,password123,+639181537384
15,40.0,80.0,1.015,3.0,0.0,normal,normal,notpresent,notpresent,76.0,162.0,9.6,141.0,4.9,7.6,24.0,3800.0,2.8,yes,no,no,good,no,yes,ckd,yes,Stage 5,user16,user16@example.com,password123,+639894918218
16,47.0,70.0,1.015,2.0,0.0,normal,normal,notpresent,notpresent,99.0,46.0,2.2,138.0,4.1,12.6,40.0,8000.0,4.8,no,no,no,good,no,no,ckd,no,Stage 4,user17,user17@example.com,password123,+639984146724
